,Unnamed: 0,url,lat,lng,name,formatted_address,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
110,ChIJ_8pVSfwylkYRDLnKnV_YyVU,https://maps.google.com/?cid=6181709868723517708,60.003953,30.4407295,Ручьи,"Санкт-Петербург, Россия, 195273",8,0,0,0,1,16,39,63,75,72,61,55,60,72,81,84,83,81,78,72,62,49,34,19
111,ChIJOxzlUBkzlkYR-WnTAXk-LOY,https://maps.google.com/?cid=16585700217141291513,60.0163502,30.43664189999999,Депо Ручьи (тех.стоянка),"Санкт-Петербург, Россия, 195273",0,0,0,0,0,0,15,36,57,75,87,93,92,85,75,65,56,49,43,35,24,10,0,0
112,ChIJTVsOFTozlkYRfCjVGgrjoBk,https://maps.google.com/?cid=1846725479761258620,60.0332558,30.4377847,Мурино,"Санкт-Петербург, Россия, 195299",0,0,0,0,0,0,10,20,30,36,42,45,46,50,56,65,73,77,73,62,47,33,20,10
113,ChIJbYEgkrXMl0YR1u8hB_vU3OY,https://maps.google.com/?cid=16635405298221314006,60.050374,30.442719899999997,Девяткино,"Мурино, Ленинградская обл., Россия, 188662",14,3,0,0,0,12,47,84,96,76,45,27,27,39,54,68,78,82,81,75,64,52,39,26
114,ChIJI4xZ5JDMl0YRuSer1tc6XUI,https://maps.google.com/?cid=4782043078031255481,60.077190400000006,30.4606456,Лаврики,"Ленинградская обл., Россия, 188661",0,0,0,0,0,5,20,45,70,80,70,60,45,40,40,40,40,40,35,30,25,15,10,5
115,ChIJA-RpKHXMl0YRMqtg4ykk7UA,https://maps.google.com/?cid=4678435350234835762,60.1120086,30.48371599999999,Кузьмолово,"Ленинградская обл., Россия, 188663",0,0,0,0,0,6,15,24,32,38,39,38,34,33,37,49,66,83,92,88,72,49,26,8
116,ChIJq0_IHk_Jl0YRJ5mGprvw9Ss,https://maps.google.com/?cid=3167702601668401447,60.14911919999999,30.509113800000005,Токсово,"Токсово, Ленинградская обл., Россия, 188664",0,0,0,0,0,2,8,16,26,35,42,46,47,47,50,56,63,68,65,55,41,25,11,1
117,ChIJV-bWISTJl0YRziXtUrCc3Ow,https://maps.google.com/?cid=17067688968946787790,60.17213659999999,30.5250353,Кавголово,"Кавголово массив, Ленинградская обл., Россия, 188664",2,0,0,0,0,0,0,1,5,9,14,19,24,29,35,42,49,54,55,49,39,26,15,7
118,ChIJ03L5gl7Il0YRjxz6uoCo_gc,https://maps.google.com/?cid=576083073196235919,60.209197100000004,30.4939409,Осельки,"Осельки, Ленинградская обл., Россия, 188665",0,0,0,0,0,0,3,8,10,11,9,6,5,6,10,16,24,32,36,36,30,20,7,0
119,ChIJZwXIO_7Hl0YRhOLdQcJs_5M,https://maps.google.com/?cid=10664362024221139588,60.24737150000001,30.464249,Пери,"Пери, Ленинградская обл., Россия, 188665",0,0,0,0,0,7,24,37,40,37,25,16,7,3,3,7,12,14,16,12,6,0,0,0
120,ChIJB5aW1QS5l0YR0RsB08WULPA,https://maps.google.com/?cid=17306371045447506897,60.318032200000005,30.43067469999999,Грузино,"Ленинградская обл., Россия, 188656",0,0,0,0,0,14,31,42,43,37,26,15,6,4,8,15,23,30,32,30,23,12,0,0
121,ChIJ7dzgcfW7l0YR5HE1KjFtpCE,https://maps.google.com/?cid=2424182557361140196,60.3710245,30.370969800000005,Васкелово,"Ленинградская обл., Россия, 188696",0,0,0,0,0,2,12,21,28,32,31,28,25,25,27,31,35,38,38,34,28,20,11,2
122,ChIJMXHRaOy8l0YRznH3tJje97w,https://maps.google.com/?cid=13616596745830494670,60.4117934,30.332925300000003,Лемболово,"Ленинградская обл., Россия, 188695",0,0,0,0,0,0,0,0,4,6,8,7,5,3,3,4,7,9,9,7,2,0,0,0
123,ChIJMXlhC4scS0ER2i-i03LOL5U,https://maps.google.com/?cid=10750037828128878554,55.7954164,38.9752344,Орехово Зуево,"Орехово-Зуево, Московская обл., Россия, 142600",0,0,0,0,11,28,46,58,61,57,53,54,59,61,60,61,67,73,73,63,47,28,11,0
124,ChIJ-yTQnzCfl0YRMs1DEWZXX2Q,https://maps.google.com/?cid=7232595622468242738,60.548835499999996,30.2159668,Сосново,"Сосново, Ленинградская обл., Россия, 188731",0,0,0,0,0,0,7,19,33,46,55,57,55,52,51,54,58,58,53,42,28,14,3,0
125,ChIJzzb3TExxl0YRjJ_Ym-5abJ8,https://maps.google.com/?cid=11487656730378674060,60.68534930000001,30.0042626,Лосево,"Ленинградская обл., Россия, 188741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,4,1,0,0,0,0
126,ChIJ3eL7XjR3l0YRHheAOVKMHDY,https://maps.google.com/?cid=3899145662175909662,60.724698499999995,30.07181019999999,Громово,"Ленинградская обл., Россия, 188740",0,0,0,0,0,3,10,14,13,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0
127,ChIJT3Qo51hQtUYR_m5I3Kf2r2w,https://maps.google.com/?cid=7831749477836287742,55.66778269999999,37.25063430000001,Отрадное,"Одинцово, Московская обл., Россия, 143002",0,0,0,0,0,12,37,59,70,64,46,26,13,14,29,54,79,94,95,82,62,41,23,8
128,ChIJe59G9Jxil0YRw-nwvKSXz7E,https://maps.google.com/?cid=12812626198692686275,60.951004000000005,30.092233,Синёво,"Ленинградская обл., Россия, 188764",0,0,0,0,0,0,0,0,0,0,2,6,11,14,16,17,17,15,12,8,3,0,0,0
129,ChIJ90qxi0bZmUYRtQvF03oKgmo,https://maps.google.com/?cid=7674708237647940533,61.0359623,30.102673499999998,Приозерск,"Приозерск, Ленинградская обл., Россия, 188760",0,0,0,0,0,7,15,23,29,32,34,34,35,38,42,47,52,52,48,40,29,18,7,0
130,ChIJ_783jSznmUYRiL4WrgJydsU,https://maps.google.com/?cid=14228685428559888008,61.1129146,29.8740488,Кузнечное,"Ленинградская обл., Россия, 188751",0,0,0,0,3,8,13,18,21,20,16,9,1,0,0,0,0,0,0,0,0,0,0,0
131,ChIJPbNgb_QzlkYRSX7Pgdcq64A,https://maps.google.com/?cid=9289565761465974345,59.99500069999999,30.327706300000003,Ланская,"Санкт-Петербург, Россия, 197343",4,0,0,0,0,5,17,32,45,52,53,48,42,41,47,60,74,81,77,63,45,30,18,10
132,ChIJ9dLNr2U0lkYRxqPoEs4dCs4,https://maps.google.com/?cid=14846711892497966022,60.01694610000001,30.313878000000003,Удельная,"Санкт-Петербург, Россия",0,0,0,0,0,5,12,20,24,22,16,16,25,35,31,29,35,40,40,35,24,14,5,0
133,ChIJHXgJnvA0lkYRd2R1LiWw4uo,https://maps.google.com/?cid=16925284023351469175,60.03968750000001,30.301273699999996,Озерки,"Санкт-Петербург, Россия, 197375",3,0,0,0,0,3,9,15,21,23,25,24,24,25,27,32,37,42,44,43,38,31,21,11
134,ChIJ7R64ZeM0lkYR5J6oV4u1eO8,https://maps.google.com/?cid=17255741582345805540,60.0468527,30.297817699999996,Шувалово,"Санкт-Петербург, Россия, 194356",1,0,0,0,0,2,16,32,47,57,64,68,70,73,78,83,87,88,85,78,66,50,33,16
135,ChIJszDo7E81lkYRWibBLJ986KQ,https://maps.google.com/?cid=11882884639909553754,60.0812736,30.2589565,Парголово,"Санкт-Петербург, Россия, 194362",4,1,0,0,0,8,38,75,73,43,28,29,34,38,41,42,42,39,36,31,25,19,14,8
136,ChIJ1T_FI0u1l0YR1K7Sk64CPDM,https://maps.google.com/?cid=3691828743364587220,60.10421609999999,30.21752189999999,Левашово,"Санкт-Петербург, Россия, 194361",2,0,0,0,0,0,5,72,100,36,17,24,32,39,44,48,50,49,46,41,33,26,18,10
137,ChIJbeFuYy1LlkYRmF9bzTZpMCg,https://maps.google.com/?cid=2895930244493696920,60.1174929,30.151860100000004,Песочная,"Санкт-Петербург, Россия, 197758",5,0,0,0,0,0,25,67,74,40,16,13,18,23,28,32,34,34,33,30,26,21,16,10
138,ChIJfzqBXkpLlkYRRkWO8F4oY-A,https://maps.google.com/?cid=16168811475418105158,60.122130000000006,30.128147700000003,Дибуны,"Санкт-Петербург, Россия, 197758",0,0,0,0,0,6,18,28,37,43,46,47,48,50,53,58,64,68,69,65,53,37,18,2
139,ChIJn3Ejq9dMlkYRj48r1LBnraM,https://maps.google.com/?cid=11794197008324726671,60.14455400000001,30.014085499999997,Белоостров,"Санкт-Петербург, Россия, 197730",0,0,0,0,0,0,9,20,28,31,29,25,20,17,18,23,29,36,39,39,34,27,17,7
140,ChIJU2axm1pNlkYRT3pxIaANI_A,https://maps.google.com/?cid=17303689174694591055,60.15816070000001,29.9441642,Солнечное,"Санкт-Петербург, Россия, 197739",0,0,0,0,0,1,5,11,16,22,26,27,27,24,20,23,41,35,32,42,45,34,17,3
141,ChIJvysOx8RSlkYRUFt8exaFYuY,https://maps.google.com/?cid=16600977508048591696,60.1728544,29.8689874,Репино,"Санкт-Петербург, Россия, 197738",0,0,0,0,0,3,15,28,38,43,42,37,32,30,33,38,44,48,48,44,36,27,17,8
142,ChIJW56ePz9TlkYRgNGWUZ_bE04,https://maps.google.com/?cid=5626081836831003008,60.184696900000006,29.808035399999998,Комарово,"Санкт-Петербург, Россия, 197733",0,0,0,0,0,0,1,4,9,16,24,32,37,39,40,43,49,56,57,49,35,19,7,0
143,ChIJ_2Icd-dUlkYRD3USZbUJCOE,https://maps.google.com/?cid=16215221133036909839,60.2056652,29.699251899999997,Зеленогорск,"Санкт-Петербург, Россия, 197720",1,0,0,0,0,3,12,25,38,50,57,58,57,56,58,63,68,71,69,60,48,34,20,9
144,ChIJud7OgmhVlkYR4z2CDD-worY,https://maps.google.com/?cid=13160274845969300963,60.22098510000001,29.624464,Ушково,"Санкт-Петербург, Россия, 188820",3,0,0,0,0,0,3,7,7,7,3,0,0,0,0,3,34,46,30,11,3,7,7,3
145,ChIJ8341uTL7lkYRUQHj8-KldDI,https://maps.google.com/?cid=3635713193367765329,60.22245529999999,29.182786800000002,Яппиля,"Ленинградская обл., Россия, 188828",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0
146,ChIJN2Ux0EzZlkYRPzJEyZzOGho,https://maps.google.com/?cid=1881042967167513151,60.36940429999999,28.775845899999997,Ермилово,"Ленинградская обл., Россия, 188911",0,0,0,0,0,0,0,12,25,31,37,31,25,25,18,12,12,6,0,0,0,0,0,0
147,ChIJDcy65z7alkYR_5QW74EfcPc,https://maps.google.com/?cid=17829785567682270463,60.36554789999999,28.630069399999996,Приморск,"Ленинградская обл., Россия, 188910",0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,10,17,13,3,0,0
148,ChIJ2ylEvbQzl0YRZimrfRU4hDU,https://maps.google.com/?cid=3856268845889825126,60.71544160000001,28.751302600000002,Выборг,"Ленинградская обл., Россия, 188800",0,0,0,0,0,0,5,16,31,45,52,48,40,36,40,50,58,60,53,40,25,12,3,0
150,ChIJyx6ElwU0lkYRVenZGhJztsQ,https://maps.google.com/?cid=14174643398792309077,59.991552799999994,30.296139399999998,Новая Деревня,"Санкт-Петербург, Россия, 197348",0,0,0,0,0,0,10,37,63,80,82,73,59,51,56,69,85,94,93,80,60,39,19,3
152,ChIJJQ5Y6IY2lkYRXdQpmRSBT6g,https://maps.google.com/?cid=12128054247001019485,59.99176130000001,30.220745500000003,Яхтенная,"Санкт-Петербург, Россия, 197374",0,0,0,0,0,13,34,50,53,43,28,17,13,15,21,27,31,34,35,33,29,23,16,8
153,ChIJM2UwfxY2lkYR2MqTYNrPnqs,https://maps.google.com/?cid=12366550163636079320,59.994664799999995,30.152492699999996,Лахта,"Санкт-Петербург, Россия, 197229",0,0,0,0,0,0,9,32,57,70,61,41,28,30,41,54,63,63,54,39,23,9,0,0
155,ChIJ7cBDFiI2lkYRRZ0gUknw4cE,https://maps.google.com/?cid=13970711716781137221,59.995763200000006,30.131243599999998,Ольгино,"Санкт-Петербург, Россия, 197229",0,0,0,0,0,0,22,73,100,76,45,38,45,55,63,69,71,69,64,57,46,35,22,11
157,ChIJDZDt_w9JlkYRdCMPKa6QKT8,https://maps.google.com/?cid=4551327976122164084,60.0140331,30.012768100000002,Лисий Нос,"Санкт-Петербург, Россия, 197755",0,0,0,0,0,7,23,42,59,70,74,69,61,55,54,59,67,73,74,67,54,37,19,3
158,ChIJWfZ6rUtJlkYRSpLjGoCaeAk,https://maps.google.com/?cid=682465218544243274,60.0392009,29.9772631,Горская,"Санкт-Петербург, Россия, 197701",0,0,0,0,0,0,13,23,30,32,31,28,25,24,27,32,40,47,50,48,40,25,8,0
159,ChIJm_k6o61OlkYRzX6o2PqhqlY,https://maps.google.com/?cid=6244981932051431117,60.049454000000004,29.97673469999999,Пл. Александровская,"Санкт-Петербург, Россия, 197701",0,0,0,0,0,6,44,60,43,19,22,33,20,6,10,23,33,39,38,31,19,4,0,0
160,ChIJ-991_qdOlkYRq5agEWeZuTI,https://maps.google.com/?cid=3655121240544286379,60.06126390000001,29.97391859999999,Тарховка,"Санкт-Петербург, Россия, 197701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,33,39,37,30,19,7
161,ChIJGWp3bT1MlkYRKdNbiHHMylw,https://maps.google.com/?cid=6686381384776012585,60.07824699999999,29.968432,Разлив,"Санкт-Петербург, Россия, 197701",0,0,0,0,0,8,25,36,41,38,31,23,18,20,26,36,46,54,55,50,37,21,3,0
162,ChIJ15VQtElMlkYRP0N-2Ew6Hrw,https://maps.google.com/?cid=13555336030155850559,60.093683299999995,29.9581048,Сестрорецк,"Санкт-Петербург, Россия, 197706",0,0,0,0,0,0,7,17,27,36,42,48,53,60,68,76,80,78,70,56,42,27,15,5
163,ChIJr2ONdqxNlkYR3XCo1BNttko,https://maps.google.com/?cid=5383610336507621597,60.11107610000001,29.95344859999999,Курорт,"Санкт-Петербург, Россия, 197706",0,0,0,0,0,1,2,4,5,8,12,18,24,30,34,37,38,42,47,49,42,29,15,5
165,ChIJV2jv6VQwlkYR95XpkBuir6I,https://maps.google.com/?cid=11722766594347734519,59.91967529999999,30.32949969999999,Витебский вокзал,"Загородный просп., 52, Санкт-Петербург, Россия, 190013",5,1,0,0,0,3,12,43,74,60,38,39,48,59,68,75,77,75,68,58,45,33,21,12
167,ChIJ8X_PRcP_lkYRD6C4REdnaIk,https://maps.google.com/?cid=9901277336567324687,60.2490372,29.5748975,Рощино,"Ленинградская обл., Россия, 188820",0,0,0,0,0,4,21,39,51,50,39,26,19,20,27,36,44,48,46,39,28,16,5,0
168,ChIJR7_WptgBl0YREy8uJdmPctU,https://maps.google.com/?cid=15380513840218124051,60.273714500000004,29.5304918,Пл. 63 км (п.Мухино),"Ленинградская обл., Россия, 188820",0,0,0,0,0,0,0,5,10,15,15,10,5,5,5,10,21,26,26,21,15,10,5,5
169,ChIJrWnGK_oBl0YRsBYur11qFi0,https://maps.google.com/?cid=3248901131797927600,60.291162099999994,29.4994477,Горьковское,"Ленинградская обл., Россия, 188821",0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,13,16,18,19,16,12,6,0,0
170,ChIJ-4IZtdcCl0YRxGxB9lrcnUU,https://maps.google.com/?cid=5016407843197250756,60.35705400000001,29.3892467,Роельярвид,"Каннельярви, Ленинградская обл., Россия, 188850",0,0,0,0,0,0,17,34,38,29,15,7,6,8,10,13,13,11,8,3,0,0,0,0
171,ChIJP8XsNoQcl0YRDiDxY_0KXNM,https://maps.google.com/?cid=15230060123279925262,60.40987239999999,29.352079800000002,Заходское,"Заходское, Ленинградская обл., Россия, 188861",0,0,0,0,0,0,0,0,0,2,4,5,6,7,6,5,4,2,0,0,0,0,0,0
172,ChIJbUoVslurJ0QRdHlyrmgtWBU,https://maps.google.com/?cid=1538029200373610868,59.90541020000001,30.338393300000003,Боровая,"Санкт-Петербург, Россия, 196084",0,0,0,0,2,5,9,13,17,21,25,27,28,29,29,35,56,86,91,59,24,7,1,0
173,ChIJC1cpDxYwlkYRAL6EV2VoGKc,https://maps.google.com/?cid=12040488388244323840,59.887880200000005,30.345810399999998,Воздухоплавательный парк,"Санкт-Петербург, Россия, 196084",3,1,0,0,0,4,18,39,61,77,80,71,58,51,57,72,86,87,71,47,25,11,5,3
174,ChIJgfjaoVsllkYRT3NdJCVFfVE,https://maps.google.com/?cid=5871925514987205455,59.851712899999995,30.365447600000003,Проспект Славы,"Санкт-Петербург, Россия, 192239",13,2,0,0,2,25,57,82,84,64,40,31,35,40,43,48,56,62,65,63,57,48,37,24
175,ChIJh74FhxIllkYRVEbY9pJq6VE,https://maps.google.com/?cid=5902365966084884052,59.829679000000006,30.3754281,Купчино,"Санкт-Петербург, Россия, 192281",9,2,0,0,0,7,31,65,81,67,51,51,57,56,55,60,73,87,93,89,76,56,37,20
176,ChIJBTmb56wllkYRKLK576kZQ6Q,https://maps.google.com/?cid=11836332463321887272,59.805715500000005,30.3883662,Шушары,"Санкт-Петербург, Россия, 196626",7,4,1,0,0,3,31,83,93,48,18,14,17,20,22,24,25,26,25,23,21,18,14,11
177,ChIJ-0wDCzgklkYRmLhYJvQdlZA,https://maps.google.com/?cid=10418266247444084888,59.787597600000005,30.3974381,Паровоз. Музей,"Санкт-Петербург, Россия, 196626",0,0,0,0,8,38,61,76,79,64,44,23,8,2,2,5,5,5,2,2,2,0,0,0
178,ChIJa1OleTwhlkYRUyALgU0vUD4,https://maps.google.com/?cid=4490140838412361811,59.72295969999999,30.42921250000001,станция Царское Село,"Привокзальная пл., 1, Санкт-Петербург, Россия, 196608",0,0,0,0,0,8,44,93,93,57,41,39,40,43,51,63,77,87,88,77,58,37,18,4
179,ChIJvbuvIf8glkYR2QZ8St5KBX8,https://maps.google.com/?cid=9152804136293238489,59.693519499999994,30.4327719,Павловск,"Санкт-Петербург, Россия, 196620",0,0,0,0,0,9,44,83,90,64,41,34,35,39,45,52,61,67,68,62,51,35,20,7
180,ChIJ0ZX6WR0glkYRxZHEekgfaOI,https://maps.google.com/?cid=16314324046307430853,59.641336800000005,30.4265538,Антропшино,"Коммунар, Ленинградская обл., Россия, 188322",3,0,0,0,0,12,50,85,91,68,39,25,28,39,52,65,74,79,79,73,62,48,32,17
181,ChIJb29wqYf1vUYRrliwDrWGJSA,https://maps.google.com/?cid=2316405695545628846,59.58969159999999,30.39059390000001,Кобралово,"Кобралово, Ленинградская обл., Россия, 188320",0,0,0,0,0,7,50,86,89,53,6,0,0,0,0,0,3,6,5,0,0,0,0,0
182,ChIJ51lSS3L2vUYRShRstvTBmSw,https://maps.google.com/?cid=3213813065882276938,59.54065849999999,30.379599,Семрино,"Семрино, Ленинградская обл., Россия, 188345",0,0,0,0,0,0,22,40,50,50,42,29,14,2,0,0,0,0,1,0,0,0,0,0
183,ChIJWTGg1Af3vUYROHPy_9TgX20,https://maps.google.com/?cid=7881265078353425208,59.49318879999999,30.3619147,Сусанино,"Сусанино, Ленинградская обл., Россия, 188365",0,0,0,0,0,0,9,21,24,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
184,ChIJp1S3VJL5vUYRTdjEnXCzXDA,https://maps.google.com/?cid=3484857507942553677,59.4297486,30.341523699999996,Михайловка,"Вырица, Ленинградская обл., Россия, 188382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,4,0,0,0
185,ChIJDQcTKIf5vUYRrXg4TNWZqpc,https://maps.google.com/?cid=10928716587153782957,59.41369879999999,30.3456614,Вырица,"Вырица, Ленинградская обл., Россия, 188380",0,0,0,0,0,10,22,32,38,38,36,35,39,45,49,50,47,42,37,30,21,11,1,0
186,ChIJZfk1-mH5vUYRoKZPigacXIo,https://maps.google.com/?cid=9970015226995648160,59.39302739999999,30.3227415,2 Платформа,"Вырица, Ленинградская обл., Россия, 188380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0
188,ChIJTUVvOzX1vUYRvrQz1tsF3is,https://maps.google.com/?cid=3160970430210356414,59.62425359999999,30.4870215,О.П. 36 Км,"Ленинградская обл., Россия, 196621",0,0,0,0,0,0,0,0,0,4,16,25,25,18,12,9,11,14,14,11,4,0,0,0
189,ChIJhRHzgpr0vUYRSJUaOckrrSE,https://maps.google.com/?cid=2426643917469029704,59.57537199999999,30.5430517,Новолисино,"Ленинградская обл., Россия, 187022",0,0,0,0,0,0,1,17,32,36,27,18,15,20,26,32,34,31,25,16,8,0,0,0
193,ChIJez35rOoUNUERoPF8bnudsMQ,https://maps.google.com/?cid=14173001180795171232,54.9948807,37.4617279,Пл. 92 км,"Московская обл., Россия, 142272",10,0,0,0,0,10,40,60,70,60,30,10,0,0,0,0,10,10,20,20,20,20,20,10
194,ChIJy62XyaoNvkYRmbxnX4nmbGM,https://maps.google.com/?cid=7164354584925158553,59.083963399999995,30.4093223,Чаща,"Чаща, Ленинградская обл., Россия, 188375",0,0,0,0,0,0,0,3,4,4,3,2,3,5,10,16,23,27,28,25,18,10,1,0
196,ChIJS4jfNB0ulkYR8eK001vh9rs,https://maps.google.com/?cid=13544260713873466097,59.9315294,30.44160759999999,Санкт-Петербург Ладож.,"Бухарестская ул., 23 корпус 4, Санкт-Петербург, Россия, 192242",17,8,3,1,4,14,30,49,66,74,71,59,45,35,32,36,43,51,56,58,55,48,38,27
197,ChIJ5azggdcvlkYRRFBIxvljqSs,https://maps.google.com/?cid=3146155739119636548,59.89133939999999,30.39643899999999,Пост 5 км,"Санкт-Петербург, Россия, 192148",0,0,0,0,0,0,0,18,42,62,75,80,81,82,82,82,76,64,47,31,18,9,3,0
198,ChIJiak8gxwslkYRKeA30tiDHi0,https://maps.google.com/?cid=3251180948271128617,59.912613500000006,30.587982899999997,7 Км,"Ленинградская обл., Россия, 188689",0,0,0,0,0,0,0,0,0,0,3,3,6,13,30,50,72,87,89,77,54,26,2,0
199,ChIJDwSrS28plkYRhCgilTTt5HY,https://maps.google.com/?cid=8567233201261652100,59.8796943,30.63784679999999,11 км (Мяглово - Колтуши),"ДНП Рыжики, Ленинградская обл., Россия, 188686",0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,3,8,8,4,0,0,0
201,ChIJ989mDZkplkYRFCmTxYzPK58,https://maps.google.com/?cid=11469489079546226964,59.86402649999999,30.673986,Колтуши,"Ленинградская обл., Россия, 188686",0,0,0,0,0,0,8,22,32,36,36,31,24,19,18,21,29,38,46,50,48,40,26,10
203,ChIJ4UaCHb-GvUYR2R1nlt9-vq4,https://maps.google.com/?cid=12591641106940632537,59.816929599999995,30.8528145,26 Км,"Ленинградская обл., Россия, 187323",0,0,0,0,0,0,4,4,0,4,19,23,9,0,0,4,9,14,14,9,4,0,0,0
204,ChIJYaKS3ZmGvUYRRuh-a4G-B50,https://maps.google.com/?cid=11315222051855198278,59.8064186,30.8587267,Геройская,"Ленинградская обл., Россия, 187323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,1,0,0,0,0,0

