,Unnamed: 0,url,lat,lng,name,formatted_address,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
25,ChIJ2c4afCyIvUYRAA-fshLRchc,https://maps.google.com/?cid=1689642688453742336,59.749587700000006,30.6143885,Колпино,"Санкт-Петербург, Россия, 196655",4,0,0,0,0,9,44,90,86,45,27,35,37,32,31,39,50,59,61,56,46,33,20,10
26,ChIJuUT7g1OJvUYR1rdusV_oTZA,https://maps.google.com/?cid=10398222612364703702,59.67925389999999,30.702517200000003,Поповка,"Поркузи, Ленинградская обл., Россия, 187015",0,0,0,0,0,5,40,72,62,32,17,15,15,15,16,17,18,20,21,19,15,8,1,0
27,ChIJe7Yy_8qNvUYRiY8bpKahxaQ,https://maps.google.com/?cid=11873073729722093449,59.63538239999999,30.7573038,Саблино,"Ульяновка, Ленинградская обл., Россия, 187010",0,0,0,0,1,28,56,72,71,59,50,50,53,55,57,63,71,78,79,71,56,37,18,1
28,ChIJI7rOdeGSvUYRWgf5xCYT9r0,https://maps.google.com/?cid=13688149174673540954,59.5625041,30.84893129999999,Тосно-2,"Ленинградская обл., Россия, 187002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,35,57,71,78,75,60,39,14
29,ChIJbZnxYz-TvUYRGl-k8aQy9SM,https://maps.google.com/?cid=2591032844631695130,59.5442819,30.88143760000001,Тосно,"Тосно, Ленинградская обл., Россия, 187000",0,0,0,0,0,0,29,60,73,73,72,69,63,60,62,68,74,76,69,54,36,16,0,0
31,ChIJ74xuTLfqvUYRsXoSrCpDX-M,https://maps.google.com/?cid=16383887819951733425,59.47843169999999,31.008242300000003,Ушаки,"Ушаки, Ленинградская обл., Россия, 187030",0,0,0,0,0,0,0,5,12,14,12,7,2,0,0,0,0,2,10,15,17,14,7,0
32,ChIJgUpqZNzAvUYROVkVLgSkbcE,https://maps.google.com/?cid=13937976759641528633,59.41674629999999,31.125938,Рябово,"Ленинградская обл., Россия, 187040",0,0,0,0,0,5,34,49,50,41,31,23,25,32,41,49,50,49,43,34,22,4,0,0
33,ChIJE8Q7Nj3GvUYRHKNd1bv8s78,https://maps.google.com/?cid=13813662365744210716,59.351139999999994,31.25078,Любань,"Любанское городское поселение, Ленинградская обл., Россия, 187050",0,0,0,0,0,4,15,27,38,47,52,53,52,49,46,46,47,48,47,42,33,21,9,0
34,ChIJKWUSCZ82lkYRCSnl5BhNSlY,https://maps.google.com/?cid=6217867004853168393,59.988034,30.25511899999999,Старая деревня,"Санкт-Петербург, Россия, 197374",6,0,0,0,0,4,22,49,68,69,61,60,64,67,70,77,86,92,90,81,66,48,31,16
35,ChIJSSaoGjMwvEYRGehaY6Dk0po,https://maps.google.com/?cid=11156230604462942233,59.122535,31.6789092,станция Чудово-Московское,"Чудово, Новгородская обл., Россия, 174210",0,0,0,0,1,7,14,20,25,27,28,26,22,16,9,4,11,51,75,36,15,24,21,1
38,ChIJCS_YX5w6lkYRL5u6ZRAP-Qs,https://maps.google.com/?cid=862737366718782255,59.87614789999999,30.292474199999997,Броневая,"Броневая ул., 1, Санкт-Петербург, Россия, 198188",0,0,0,0,0,4,16,31,46,55,55,49,43,43,53,69,82,85,74,55,34,16,5,0
39,ChIJY1jK5MA6lkYRMyDMnI52K9w,https://maps.google.com/?cid=15864904467230761011,59.85340079999999,30.2886767,Ленинский Проспект,"Санкт-Петербург, Россия, 196247",5,2,0,0,0,3,19,46,65,55,33,23,25,32,42,55,67,72,67,54,39,25,16,9
40,ChIJA8vTKN86lkYRx7OoNl2aKaI,https://maps.google.com/?cid=11685040433329124295,59.8370545,30.2713528,Дачное,"Санкт-Петербург, Россия, 198215",9,0,0,0,0,3,26,49,62,58,42,25,15,16,26,42,57,70,78,79,72,60,43,26
41,ChIJWdJfYBI7lkYRykGSbvO22_E,https://maps.google.com/?cid=17427724339688653258,59.8247463,30.22054360000001,Ульянка,"Санкт-Петербург, Россия, 198260",0,0,0,0,0,2,46,86,88,51,13,0,0,6,17,27,36,42,45,45,41,34,24,12
42,ChIJ4_aAcZw7lkYRVFNg1kzNXeQ,https://maps.google.com/?cid=16455534343379506004,59.8233184,30.1784798,Лигово,"Санкт-Петербург, Россия, 198205",1,0,0,0,0,9,34,68,89,78,50,32,30,39,51,64,73,77,73,64,50,34,20,9
44,ChIJCUAKE1Q5lkYR4RaYjrJUQF0,https://maps.google.com/?cid=6719463769910023905,59.833405000000006,30.09077609999999,Сергиево (Володарская),"Санкт-Петербург, Россия, 198218",8,0,0,0,0,15,48,79,94,85,62,37,24,24,31,42,51,57,59,57,52,43,33,20
45,ChIJ6wMQ38w4lkYR_8aefnCsLtE,https://maps.google.com/?cid=15073174602016278271,59.85361520000001,29.996298600000003,Михайловская Дача (Красные Зори),"Санкт-Петербург, Россия, 198515",0,0,0,0,0,0,0,7,35,71,78,57,35,35,42,42,50,50,42,35,28,21,7,0
46,ChIJQ0VpGaxAlkYRv1wE2rxO5gQ,https://maps.google.com/?cid=353056193813699775,59.8640947,29.9249989,Новый Петергоф,"ул. Братьев Горкушенко, 9, Санкт-Петербург, Россия, 198510",0,0,0,0,0,7,34,63,75,69,56,50,53,60,70,78,84,85,78,66,49,32,17,4
